1500	Charles V, Holy Roman Emperor and King of Spain was born.
1500	Guru Nanak The beginning and spreading of the 5th largest Religion in the World Sikhism.
1500	Spanish navigator Vicente Yáñez Pinzón encounters Brazil but is prevented from claiming it by the Treaty of Tordesillas.
1500	Portuguese navigator Pedro Álvares Cabral claims Brazil for Portugal.
1500	The Ottoman fleet of Kemal Reis defeats the Venetians at the Second Battle of Lepanto.
1501	Michelangelo returns to his native Florence to begin work on the statue David.
1501	Safavid dynasty reunified Iran and ruled over it until 1736. Safavids adopt a Shia branch of Islam.
1502	First reported African slaves in The New World
1503	Foundation of the Sultanate of Sennar by Amara Dunqas, in what is modern Sudan
1503	Spain defeats France at the Battle of Cerignola. Considered to be the first battle in history won by gunpowder small arms.
1503	Leonardo da Vinci begins painting the Mona Lisa and completes it three or four years later.
1503	Nostradamus was born on either December 14, or December 21.
1504	A period of drought, with famine in all of Spain.
1505	Zhengde Emperor ascended the throne of Ming Dynasty.
1505	King Sultan Trenggono build the first Moslem kingdom in Java, called Demak, in Indonesia . Many other small kingdoms were established in other islands to fight against Portuguese. Each kingdom introduced local language as a way of communication and unity.
1506	King Afonso I of Kongo wins the battle of Mbanza Kongo, resulting in Catholicism becoming Kongo's state religion.
1506	At least two thousand converted Jews are massacred in a Lisbon riot, Portugal.
1506	Christopher Columbus dies in Valladolid, Spain.
1506	Poland is invaded by Tatars from the Crimean Khanate.
1507	The first recorded epidemic of smallpox in the New World on the island of Hispaniola. It devastates the native Taíno population.
1507	Afonso de Albuquerque conquered Hormuz and Muscat, among other bases in the Persian Gulf, taking control of the region at the entrance of the Gulf.
1508	Michelangelo paints the Sistine Chapel ceiling.
1509	The Battle of Diu marks the beginning of Portuguese dominance of the Spice trade and the Indian Ocean.
1509	The Portuguese king sends Diogo Lopes de Sequeira to find Malacca, the eastern terminus of Asian trade. After initially receiving Sequeira, Sultan Mahmud Syah captures and/or kills several of his men and attempts an assault on the four Portuguese ships, which escape. The Javanese fleet is also destroyed in Malacca.
1509	The 'great plague' in various parts of Tudor England.
1511	Afonso de Albuquerque of Portugal conquers Malacca, the capital of the Sultanate of Malacca in present day Malaysia.
1512	Copernicus writes Commentariolus, and proclaims the sun the center of the solar system.
1512	The southern part (historical core) of the Kingdom of Navarre is invaded by Castile and Aragon.
1512	The first Portuguese exploratory expedition was sent eastward from Malacca (in present day Malaysia) to search for the 'Spice Islands' (Maluku) led by Francisco Serrão. Serrao is shipwrecked but struggles on to Hitu (northern Ambon) and wins the favour of the local rulers.
1513	Machiavelli writes The Prince, a treatise about political philosophy
1513	The Portuguese mariner Jorge Álvares lands at Macau, China, during the Ming Dynasty.
1513	Henry VIII crushes the French at the Battle of the Spurs.
1513	The Battle of Flodden Field in which invading Scots are defeated by Henry VIII's forces.
1513	Sultan Selim I ("The Grim") orders the massacre of Shia Muslims in Anatolia (present day Turkey).
1513	Vasco Núñez de Balboa, in service of Spain arrives at the Pacific Ocean (which he called Mar del Sur) across the Isthmus of Panama. He was the first European to do so.
